category,question,answer
HR,Do you have any questions for us,"Yes, I would like to know more about the role, team structure, and growth opportunities in the company."
DSA,What is an array,An array is a linear data structure that stores elements in contiguous memory locations.
DSA,What is linked list,A linked list is a dynamic data structure where nodes are connected using pointers.
DSA,What is stack,A stack is a linear data structure that follows the Last In First Out principle.
DSA,What is queue,A queue is a linear data structure that follows the First In First Out principle.
DSA,What is binary search,Binary search is an efficient searching algorithm used on sorted arrays.
DSA,What is linear search,Linear search checks each element sequentially until the target element is found.
DSA,What is recursion,Recursion is a programming technique where a function calls itself.
DSA,What is hashing,Hashing maps data into fixed-size values using a hash function.
DSA,What is collision in hashing,A collision occurs when two keys map to the same hash value.
DSA,What is dynamic programming,Dynamic programming solves problems by storing results of overlapping subproblems.
DSA,What is memoization,Memoization stores computed results to avoid repeated calculations.
DSA,What is tabulation,Tabulation is a bottom-up dynamic programming approach.
DSA,What is graph,A graph is a collection of vertices and edges.
DSA,What is tree,A tree is a hierarchical data structure consisting of nodes.
DSA,What is binary tree,A binary tree is a tree where each node has at most two children.
DSA,What is binary search tree,A binary search tree stores nodes in sorted order.
DSA,What is AVL tree,AVL tree is a self-balancing binary search tree.
DSA,What is heap,A heap is a complete binary tree used in priority queues.
DSA,What is min heap,A min heap stores the minimum element at the root.
DSA,What is max heap,A max heap stores the maximum element at the root.
DSA,What is priority queue,A priority queue processes elements based on priority.
DSA,What is trie,A trie is a tree-like data structure used for string searching.
DSA,What is segment tree,A segment tree is used for range queries and updates.
DSA,What is Fenwick tree,Fenwick tree supports efficient prefix sum calculations.
DSA,What is adjacency matrix,An adjacency matrix represents graph connections using a matrix.
DSA,What is adjacency list,An adjacency list represents graph connections using linked lists.
DSA,What is BFS,Breadth First Search traverses graph level by level.
DSA,What is DFS,Depth First Search explores graph nodes deeply before backtracking.
DSA,What is topological sorting,Topological sorting arranges vertices in a directed acyclic graph.
DSA,What is Dijkstra algorithm,Dijkstra algorithm finds the shortest path in weighted graphs.
DSA,What is Bellman Ford algorithm,Bellman Ford finds shortest paths and handles negative weights.
DSA,What is Floyd Warshall algorithm,Floyd Warshall finds shortest paths between all pairs of vertices.
DSA,What is Kruskal algorithm,Kruskal algorithm finds the minimum spanning tree.
DSA,What is Prim algorithm,Prim algorithm constructs a minimum spanning tree.
DSA,What is greedy algorithm,Greedy algorithm makes locally optimal choices.
DSA,What is backtracking,Backtracking explores all possible solutions recursively.
DSA,What is divide and conquer,Divide and conquer breaks problems into smaller subproblems.
DSA,What is merge sort,Merge sort divides arrays and merges sorted halves.
DSA,What is quick sort,Quick sort uses partitioning to sort elements efficiently.
DSA,What is bubble sort,Bubble sort repeatedly swaps adjacent elements.
DSA,What is selection sort,Selection sort repeatedly selects the minimum element.
DSA,What is insertion sort,Insertion sort inserts elements into their correct positions.
DSA,What is counting sort,Counting sort sorts elements using frequency counts.
DSA,What is radix sort,Radix sort sorts numbers digit by digit.
DSA,What is bucket sort,Bucket sort distributes elements into buckets before sorting.
DSA,What is time complexity,Time complexity measures execution time relative to input size.
DSA,What is space complexity,Space complexity measures memory usage relative to input size.
DSA,What is Big O notation,Big O notation describes algorithm efficiency.
DSA,What is amortized analysis,Amortized analysis calculates average operation cost.
DSA,What is worst case complexity,Worst case complexity measures maximum execution time.
DSA,What is best case complexity,Best case complexity measures minimum execution time.
DSA,What is average case complexity,Average case complexity measures expected execution time.
DSA,What is circular queue,A circular queue connects the end back to the front.
DSA,What is deque,Deque allows insertion and deletion at both ends.
DSA,What is doubly linked list,A doubly linked list contains previous and next pointers.
DSA,What is circular linked list,A circular linked list connects the last node to the first.
DSA,What is sparse matrix,A sparse matrix contains mostly zero values.
DSA,What is matrix traversal,Matrix traversal visits all matrix elements systematically.
DSA,What is prefix sum,Prefix sum stores cumulative sums for fast range queries.
DSA,What is sliding window,Sliding window optimizes subarray problems.
DSA,What is two pointer technique,Two pointer technique uses two indices for efficient traversal.
DSA,What is bit manipulation,Bit manipulation performs operations directly on bits.
DSA,What is XOR operation,XOR compares bits and returns 1 for different bits.
DSA,What is recursion stack,Recursion stack stores function calls during recursion.
DSA,What is tail recursion,Tail recursion performs recursive calls at the end of functions.
DSA,What is balanced tree,A balanced tree maintains near-equal subtree heights.
DSA,What is inorder traversal,Inorder traversal visits left root right.
DSA,What is preorder traversal,Preorder traversal visits root left right.
DSA,What is postorder traversal,Postorder traversal visits left right root.
DSA,What is level order traversal,Level order traversal visits nodes level by level.
DSA,What is cycle detection,Cycle detection identifies loops in graphs or linked lists.
DSA,What is union find,Union find manages disjoint sets efficiently.
DSA,What is path compression,Path compression optimizes union find operations.
DSA,What is longest common subsequence,LCS finds the longest sequence common to two strings.
DSA,What is knapsack problem,Knapsack problem maximizes value within weight constraints.
DSA,What is matrix chain multiplication,Matrix chain multiplication optimizes matrix multiplication order.
DSA,What is coin change problem,Coin change finds minimum coins for a target value.
DSA,What is Kadane algorithm,Kadane algorithm finds maximum subarray sum.
DSA,What is Hamiltonian path,Hamiltonian path visits every vertex exactly once.
DSA,What is Euler path,Euler path visits every edge exactly once.
DSA,What is strongly connected graph,A strongly connected graph has paths between all vertices.
DSA,What is spanning tree,A spanning tree connects all graph vertices without cycles.
DSA,What is minimum spanning tree,Minimum spanning tree has minimum edge weight.
DSA,What is NP hard problem,NP hard problems are computationally difficult to solve.
DSA,What is NP complete problem,NP complete problems are both NP and NP hard.
DSA,What is branch and bound,Branch and bound solves optimization problems systematically.
DSA,What is recursion tree,Recursion tree visualizes recursive function calls.
DSA,What is load factor in hashing,Load factor measures hash table occupancy.
DSA,What is open addressing,Open addressing resolves hash collisions.
DSA,What is chaining in hashing,Chaining stores collided elements in linked lists.
DSA,What is self balancing tree,Self balancing trees maintain balanced heights automatically.
DSA,What is red black tree,Red black tree is a balanced binary search tree.
DSA,What is suffix array,Suffix array stores sorted suffixes of a string.
DSA,What is KMP algorithm,KMP algorithm efficiently performs pattern matching.
DSA,What is Rabin Karp algorithm,Rabin Karp uses hashing for pattern matching.
DSA,What is Z algorithm,Z algorithm performs efficient string matching.
DSA,What is disjoint set,Disjoint set stores non-overlapping groups.
DSA,What is monotonic stack,Monotonic stack maintains increasing or decreasing order.
DSA,What is reservoir sampling,Reservoir sampling randomly selects elements from streams.
DSA,What is bloom filter,Bloom filter is a probabilistic data structure for membership checking.
DSA,What is skip list,Skip list is a layered linked list for fast searching.
DSA,What is suffix tree,Suffix tree stores suffixes for fast string operations.
DSA,What is Cartesian tree,Cartesian tree combines heap and binary search tree properties.
DSA,What is interval tree,Interval tree efficiently manages interval queries.
OS,What is operating system,An operating system manages hardware resources and provides services for applications.
OS,What is process,A process is a program in execution with its own memory and resources.
OS,What is thread,A thread is the smallest unit of execution within a process.
OS,What is deadlock,Deadlock occurs when processes wait indefinitely for resources held by each other.
OS,What is semaphore,A semaphore is a synchronization mechanism used to control access to shared resources.
OS,What is mutex,A mutex is a locking mechanism that allows only one thread to access a resource at a time.
OS,What is paging,Paging is a memory management technique that divides memory into fixed-size pages.
OS,What is virtual memory,Virtual memory uses disk space as an extension of RAM.
OS,What is thrashing,Thrashing occurs when excessive paging reduces system performance.
OS,What is fragmentation,Fragmentation refers to inefficient memory usage caused by allocation gaps.
OS,What is internal fragmentation,Internal fragmentation occurs when allocated memory contains unused space.
OS,What is external fragmentation,External fragmentation occurs when free memory is scattered in small blocks.
OS,What is CPU scheduling,CPU scheduling determines the order in which processes execute.
OS,What is FCFS scheduling,FCFS scheduling executes processes in the order they arrive.
OS,What is Round Robin scheduling,Round Robin scheduling allocates equal time slices to processes.
OS,What is priority scheduling,Priority scheduling executes processes based on priority values.
OS,What is shortest job first scheduling,Shortest Job First scheduling executes the process with minimum burst time.
OS,What is context switching,Context switching saves and restores process states during CPU switching.
OS,What is multitasking,Multitasking allows multiple tasks to run seemingly simultaneously.
OS,What is multiprocessing,Multiprocessing uses multiple CPUs or cores for parallel execution.
OS,What is multithreading,Multithreading allows multiple threads within a process to execute concurrently.
OS,What is starvation,Starvation occurs when a process never gets CPU resources due to low priority.
OS,What is aging in operating system,Aging gradually increases process priority to prevent starvation.
OS,What is cache memory,Cache memory is high-speed memory used to store frequently accessed data.
OS,What is demand paging,Demand paging loads pages into memory only when required.
OS,What is page fault,A page fault occurs when a requested page is not present in memory.
OS,What is swapping,Swapping moves processes between RAM and disk storage.
OS,What is kernel,The kernel is the core component of an operating system.
OS,What is shell,A shell is a command interpreter that allows users to interact with the OS.
OS,What is system call,A system call allows user programs to request OS services.
OS,What is spooling,Spooling stores data temporarily for sequential device processing.
OS,What is booting,Booting is the process of starting a computer system.
OS,What is real time operating system,A real time operating system processes tasks within strict timing constraints.
OS,What is distributed operating system,A distributed OS manages multiple systems as a single network.
OS,What is batch operating system,A batch operating system executes batches of jobs without user interaction.
OS,What is time sharing operating system,A time sharing OS shares CPU time among multiple users.
OS,What is file system,A file system organizes and manages files on storage devices.
OS,What is inode,An inode stores metadata about files in Unix systems.
OS,What is RAID,RAID combines multiple disks for performance and reliability.
OS,What is zombie process,A zombie process has completed execution but still exists in the process table.
OS,What is orphan process,An orphan process continues running after its parent process terminates.
OS,What is inter process communication,IPC allows processes to communicate and share data.
OS,What is producer consumer problem,The producer consumer problem is a synchronization problem involving shared buffers.
OS,What is dining philosophers problem,Dining philosophers problem demonstrates synchronization and deadlock challenges.
OS,What is reader writer problem,Reader writer problem manages concurrent access to shared data.
OS,What is banker algorithm,Banker algorithm avoids deadlock by ensuring safe resource allocation.
OS,What is Belady anomaly,Belady anomaly occurs when more page frames increase page faults.
OS,What is logical address,A logical address is generated by the CPU during execution.
OS,What is physical address,A physical address refers to the actual location in memory.
OS,What is address binding,Address binding maps logical addresses to physical addresses.
OOPS,What is object oriented programming,Object oriented programming is a programming paradigm based on classes and objects.
OOPS,What is class,A class is a blueprint used to create objects.
OOPS,What is object,An object is an instance of a class containing data and methods.
OOPS,What is encapsulation,Encapsulation binds data and methods together into a single unit.
OOPS,What is abstraction,Abstraction hides implementation details and exposes only essential features.
OOPS,What is inheritance,Inheritance allows one class to acquire properties and methods of another class.
OOPS,What is polymorphism,Polymorphism allows objects to take multiple forms.
OOPS,What is constructor,A constructor is a special method used to initialize objects.
OOPS,What is destructor,A destructor is a method used to release resources when an object is destroyed.
OOPS,What is method overloading,Method overloading allows multiple methods with the same name but different parameters.
OOPS,What is method overriding,Method overriding occurs when a subclass provides a different implementation of a parent method.
OOPS,What is runtime polymorphism,Runtime polymorphism is achieved through method overriding.
OOPS,What is compile time polymorphism,Compile time polymorphism is achieved through method overloading.
OOPS,What is interface,An interface defines methods that implementing classes must provide.
OOPS,What is abstract class,An abstract class cannot be instantiated and may contain abstract methods.
OOPS,What is data hiding,Data hiding restricts direct access to sensitive data members.
OOPS,What is access specifier,Access specifiers define the accessibility of class members.
OOPS,What is public access specifier,Public members can be accessed from anywhere in the program.
OOPS,What is private access specifier,Private members can only be accessed within the same class.
OOPS,What is protected access specifier,Protected members can be accessed within the class and subclasses.
OOPS,What is constructor overloading,Constructor overloading uses multiple constructors with different parameters.
OOPS,What is copy constructor,A copy constructor creates an object by copying another object.
OOPS,What is inheritance hierarchy,Inheritance hierarchy represents relationships between parent and child classes.
OOPS,What is single inheritance,Single inheritance involves one parent and one child class.
OOPS,What is multiple inheritance,Multiple inheritance allows a class to inherit from multiple parent classes.
OOPS,What is multilevel inheritance,Multilevel inheritance forms a chain of inheritance.
OOPS,What is hierarchical inheritance,Hierarchical inheritance occurs when multiple classes inherit from one parent.
OOPS,What is hybrid inheritance,Hybrid inheritance combines multiple inheritance types.
OOPS,What is dynamic binding,Dynamic binding links method calls at runtime.
OOPS,What is static binding,Static binding links method calls at compile time.
OOPS,What is friend function,A friend function can access private members of a class.
OOPS,What is virtual function,A virtual function enables runtime polymorphism.
OOPS,What is pure virtual function,A pure virtual function must be overridden in derived classes.
OOPS,What is operator overloading,Operator overloading allows operators to work with user-defined data types.
OOPS,What is function overloading,Function overloading allows multiple functions with the same name but different parameters.
OOPS,What is this pointer,This pointer refers to the current object instance.
OOPS,What is super keyword,Super keyword refers to the parent class object.
OOPS,What is final keyword,Final keyword prevents inheritance or method overriding.
OOPS,What is static keyword,Static keyword belongs to the class rather than objects.
OOPS,What is association,Association represents a relationship between classes.
OOPS,What is aggregation,Aggregation represents a weak has-a relationship between objects.
OOPS,What is composition,Composition represents a strong ownership relationship between objects.
OOPS,What is message passing,Message passing allows objects to communicate through methods.
OOPS,What is coupling,Coupling measures dependency between modules or classes.
OOPS,What is cohesion,Cohesion measures how closely related class responsibilities are.
OOPS,What is immutable object,An immutable object cannot be modified after creation.
OOPS,What is singleton class,Singleton class allows only one object instance.
OOPS,What is namespace,Namespace organizes identifiers and prevents naming conflicts.
OOPS,What is exception handling,Exception handling manages runtime errors gracefully.
OOPS,What is try catch block,Try catch block handles exceptions during execution.
DBMS,What is DBMS,"DBMS stands for Database Management System and is used to store, manage, and retrieve data efficiently."
DBMS,What is RDBMS,RDBMS is a relational database management system that stores data in tables.
DBMS,What is normalization,Normalization organizes data to reduce redundancy and improve consistency.
DBMS,What is denormalization,Denormalization combines tables to improve read performance.
DBMS,What is primary key,A primary key uniquely identifies each record in a table.
DBMS,What is foreign key,A foreign key establishes relationships between tables.
DBMS,What is candidate key,A candidate key can uniquely identify records in a table.
DBMS,What is super key,A super key is a set of attributes that uniquely identifies records.
DBMS,What is alternate key,An alternate key is a candidate key not selected as the primary key.
DBMS,What is composite key,A composite key uses multiple columns to uniquely identify records.
DBMS,What is SQL,SQL is a language used to manage and manipulate relational databases.
DBMS,What is DDL,DDL commands define and modify database structure.
DBMS,What is DML,DML commands manipulate data stored in database tables.
DBMS,What is DCL,DCL commands control database access permissions.
DBMS,What is TCL,TCL commands manage database transactions.
DBMS,What is schema,A schema defines the structure of a database.
DBMS,What is instance in DBMS,An instance is the actual data stored in a database at a given time.
DBMS,What is data integrity,Data integrity ensures data accuracy and consistency.
DBMS,What is entity relationship model,ER model represents entities and relationships in a database.
DBMS,What is entity,An entity is a real-world object represented in a database.
DBMS,What is attribute,An attribute describes properties of an entity.
DBMS,What is relationship in DBMS,A relationship defines associations between entities.
DBMS,What is cardinality,Cardinality defines the number of entity relationships.
DBMS,What is one to one relationship,One-to-one relationship connects one record to one record.
DBMS,What is one to many relationship,One-to-many relationship connects one record to multiple records.
DBMS,What is many to many relationship,Many-to-many relationship connects multiple records between tables.
DBMS,What is indexing,Indexing improves query performance by reducing search time.
DBMS,What is clustered index,A clustered index stores table data physically in sorted order.
DBMS,What is non clustered index,A non-clustered index stores pointers to actual table rows.
DBMS,What is transaction,A transaction is a sequence of database operations executed as a unit.
DBMS,What are ACID properties,ACID properties ensure reliable database transactions.
DBMS,What is atomicity,Atomicity ensures transactions are fully completed or fully rolled back.
DBMS,What is consistency,Consistency ensures the database remains in a valid state.
DBMS,What is isolation,Isolation prevents concurrent transactions from interfering.
DBMS,What is durability,Durability ensures committed data remains permanent.
DBMS,What is deadlock in DBMS,Deadlock occurs when transactions wait indefinitely for each other.
DBMS,What is join,A join combines rows from multiple tables.
DBMS,What is inner join,Inner join returns matching rows from both tables.
DBMS,What is left join,Left join returns all rows from the left table and matching rows from the right.
DBMS,What is right join,Right join returns all rows from the right table and matching rows from the left.
DBMS,What is full outer join,Full outer join returns matching and nonmatching rows from both tables.
DBMS,What is self join,Self join joins a table with itself.
DBMS,What is view,A view is a virtual table created from query results.
DBMS,What is stored procedure,A stored procedure is a precompiled SQL program stored in the database.
DBMS,What is trigger,A trigger automatically executes when specific database events occur.
DBMS,What is cursor,A cursor retrieves query results row by row.
DBMS,What is data redundancy,Data redundancy refers to duplicate data storage.
DBMS,What is data abstraction,Data abstraction hides unnecessary implementation details.
DBMS,What is query optimization,Query optimization improves query execution efficiency.
DBMS,What is functional dependency,Functional dependency describes relationships between table attributes.
DBMS,What is two phase locking,Two phase locking ensures transaction serializability using locks.
CN,What is computer network,A computer network is a collection of interconnected devices that communicate and share resources.
CN,What is OSI model,The OSI model is a seven-layer framework used to standardize network communication.
CN,What are the layers of OSI model,"The OSI layers are Physical, Data Link, Network, Transport, Session, Presentation, and Application."
CN,What is TCP,TCP is a reliable connection-oriented transport layer protocol.
CN,What is UDP,UDP is a fast connectionless transport layer protocol.
CN,What is IP address,An IP address uniquely identifies a device on a network.
CN,What is IPv4,IPv4 is a 32-bit addressing system used in networking.
CN,What is IPv6,IPv6 is a 128-bit addressing system designed to replace IPv4.
CN,What is MAC address,A MAC address is a unique hardware identifier assigned to network devices.
CN,What is DNS,DNS translates domain names into IP addresses.
CN,What is DHCP,DHCP automatically assigns IP addresses to devices in a network.
CN,What is HTTP,HTTP is a protocol used for communication between web browsers and servers.
CN,What is HTTPS,HTTPS is the secure encrypted version of HTTP.
CN,What is FTP,FTP is a protocol used for transferring files between systems.
CN,What is SMTP,SMTP is a protocol used for sending emails.
CN,What is POP3,POP3 is a protocol used to receive emails from a server.
CN,What is IMAP,IMAP is a protocol used to access and manage emails on a server.
CN,What is router,A router forwards data packets between different networks.
CN,What is switch,A switch connects devices within the same network.
CN,What is hub,A hub broadcasts data to all connected devices.
CN,What is bridge,A bridge connects and filters traffic between network segments.
CN,What is gateway,A gateway connects networks using different protocols.
CN,What is firewall,A firewall monitors and controls network traffic for security.
CN,What is modem,A modem converts digital data into analog signals and vice versa.
CN,What is bandwidth,Bandwidth is the maximum data transfer capacity of a network.
CN,What is latency,Latency is the delay in data transmission across a network.
CN,What is packet switching,Packet switching divides data into packets before transmission.
CN,What is circuit switching,Circuit switching establishes a dedicated communication path.
CN,What is subnetting,Subnetting divides a network into smaller subnetworks.
CN,What is topology,Topology refers to the physical or logical arrangement of a network.
CN,What is bus topology,Bus topology connects all devices using a single communication line.
CN,What is star topology,Star topology connects devices through a central hub or switch.
CN,What is ring topology,Ring topology connects devices in a circular structure.
CN,What is mesh topology,Mesh topology provides multiple paths between network devices.
CN,What is peer to peer network,Peer-to-peer network allows devices to communicate directly.
CN,What is client server network,Client-server network uses centralized servers to provide services.
CN,What is transmission media,Transmission media carries signals between devices.
CN,What is guided media,Guided media uses physical cables for communication.
CN,What is unguided media,Unguided media uses wireless communication channels.
CN,What is coaxial cable,Coaxial cable is a copper cable used for signal transmission.
CN,What is optical fiber,Optical fiber transmits data using light signals.
CN,What is twisted pair cable,Twisted pair cable consists of insulated copper wires twisted together.
CN,What is ARP,ARP maps IP addresses to MAC addresses.
CN,What is ICMP,ICMP is used for error reporting and network diagnostics.
CN,What is ping,Ping checks connectivity between devices on a network.
CN,What is traceroute,Traceroute identifies the path packets take across networks.
CN,What is congestion control,Congestion control prevents excessive traffic in networks.
CN,What is flow control,Flow control manages data transmission speed between sender and receiver.
CN,What is error detection,Error detection identifies errors during data transmission.
CN,What is checksum,Checksum verifies data integrity during transmission.
Java,What is Java,Java is an object oriented programming language used for building platform independent applications.
Java,What is JVM,JVM stands for Java Virtual Machine and executes Java bytecode.
Java,What is JDK,JDK is the Java Development Kit used for developing Java applications.
Java,What is JRE,JRE provides the environment required to run Java applications.
Java,What is inheritance in Java,Inheritance allows one class to acquire properties and methods of another class.
Java,What is polymorphism in Java,Polymorphism allows objects to take multiple forms.
Java,What is encapsulation in Java,Encapsulation binds data and methods together into a single unit.
Java,What is abstraction in Java,Abstraction hides implementation details and exposes only essential features.
Java,What is default constructor,A default constructor is automatically provided if no constructor is defined.
Java,What is parameterized constructor,A parameterized constructor accepts parameters during object creation.
Java,What is interface in Java,An interface defines methods that implementing classes must provide.
Java,What is this keyword,This keyword refers to the current object instance.
Java,What is finally block,Finally block executes regardless of exception occurrence.
Java,What is throw keyword,Throw keyword explicitly throws exceptions.
Java,What is throws keyword,Throws keyword declares possible exceptions.
Java,What is thread lifecycle,Thread lifecycle defines states of thread execution.
Java,What is synchronization,Synchronization controls access to shared resources.
Java,What is collection framework,Collection framework provides data structures and algorithms.
Java,What is ArrayList,ArrayList is a dynamic array implementation in Java.
Java,What is LinkedList,LinkedList stores elements using linked nodes.
Java,What is HashMap,HashMap stores key value pairs using hashing.
Java,What is HashSet,HashSet stores unique elements.
Java,What is TreeMap,TreeMap stores sorted key value pairs.
Java,What is TreeSet,TreeSet stores sorted unique elements.
Java,What is iterator,Iterator allows sequential traversal of collection elements.
Java,What is garbage collection,Garbage collection automatically frees unused memory.
Java,What is serialization,Serialization converts objects into byte streams.
Java,What is deserialization,Deserialization converts byte streams back into objects.
Java,What is package in Java,Package organizes related classes and interfaces.
Java,What is access modifier,Access modifiers define accessibility of classes and members.
Java,What is public access modifier,Public members are accessible everywhere.
Java,What is private access modifier,Private members are accessible only within the same class.
Java,What is protected access modifier,Protected members are accessible within package and subclasses.
Java,What is wrapper class,Wrapper classes convert primitive types into objects.
Java,What is autoboxing,Autoboxing automatically converts primitives into wrapper objects.
Java,What is unboxing,Unboxing converts wrapper objects into primitives.
Java,What is lambda expression,Lambda expression provides concise functional programming syntax.
Java,What is stream API,Stream API processes collections using functional operations.
Java,What is JDBC,JDBC connects Java applications with databases.
Python,What is Python,Python is a high level interpreted programming language known for simplicity and readability.
Python,What are the features of Python,"Python features include simplicity, readability, portability, and extensive libraries."
Python,What is indentation in Python,Indentation defines code blocks in Python.
Python,What is a variable in Python,A variable stores data values in memory.
Python,What are Python data types,"Python supports int, float, string, list, tuple, dictionary, and set data types."
Python,What is a list in Python,A list is an ordered mutable collection.
Python,What is a tuple in Python,A tuple is an ordered immutable collection.
Python,What is a dictionary in Python,A dictionary stores key value pairs.
Python,What is a set in Python,A set stores unique unordered elements.
Python,What is list comprehension,List comprehension creates lists using concise syntax.
Python,What is lambda function,Lambda function is an anonymous function in Python.
Python,What is generator,Generator produces values lazily using yield keyword.
Python,What is yield keyword,Yield returns values one at a time from a generator.
Python,What is try except block,Try except block handles exceptions during execution.
Python,What is Python module,A module is a file containing reusable Python code.
Python,What is package in Python,A package is a collection of Python modules.
Python,What is pip,Pip is the Python package installer.
Python,What is virtual environment,Virtual environment isolates Python project dependencies.
Python,What is object oriented programming in Python,OOP organizes programs using classes and objects.
Python,What is class in Python,A class is a blueprint for creating objects.
Python,What is object in Python,An object is an instance of a class.
Python,What is inheritance in Python,Inheritance allows classes to acquire properties from other classes.
Python,What is polymorphism in Python,Polymorphism allows methods to behave differently for different objects.
Python,What is encapsulation in Python,Encapsulation binds data and methods into a single unit.
Python,What is abstraction in Python,Abstraction hides implementation details and shows only essential features.
Python,What is constructor in Python,Constructor initializes objects during creation.
Python,What is self keyword,Self refers to the current object instance.
Python,What is __init__ method,__init__ initializes object attributes.
Python,What is file handling,File handling performs read and write operations on files.
Python,What is open function,Open function opens files for reading or writing.
Python,What is read mode in Python,Read mode opens files for reading data.
Python,What is write mode in Python,Write mode opens files for writing data.
Python,What is append mode,Append mode adds data to existing files.
Python,What is mutable object,Mutable objects can be modified after creation.
Python,What is type casting,Type casting converts one data type into another.
Python,What is slicing,Slicing extracts portions of sequences.
Python,What is deepcopy,Deepcopy creates independent copies of objects.
Python,What is shallow copy,Shallow copy creates references to nested objects.
Python,What is threading in Python,Threading enables concurrent execution.
Python,What is NumPy,NumPy is a library for numerical computing.
Python,What is Pandas,Pandas is a library for data analysis.
Python,What is Flask,Flask is a lightweight Python web framework.
Python,What is Django,Django is a high level Python web framework.
Python,What is FastAPI,FastAPI is a modern Python framework for APIs.
Project,Explain your project,My project is an AI powered placement preparation assistant that helps students prepare for interviews using semantic search and retrieval.
Project,What problem does your project solve,The project helps students quickly access interview questions and answers for placement preparation.
Project,Why did you choose this project,I chose this project because placement preparation is important for students and AI can improve learning efficiency.
